Kennzeichen;Identnummer;Bankleitzahl;Institutsart;Sektor;Firmenbuchnummer;Bankenname;Straße;PLZ;Ort;Politischer Bezirk;Postadresse / Straße;Postadresse / PLZ;Postadresse / Ort;Postfach;Bundesland;Telefon;Fax;E-Mail;SWIFT-Code;Homepage;Gruendungsdatum;ZweigniederlassungVon
Zweigstelle;5234344;34460;;Raiffeisen;;Raiffeisenbank Region Pregarten reg.Gen.m.b.H. Bst.St.Leonhard;Hauptstraße 21;4294;St.Leonhard/Fr.;Freistadt;;;;;Oberösterreich;07952/8222;07952/822231;rb-region-pregarten@raiffeisen-ooe.at;;www.raiffeisen-ooe.at/region-pregarten;;261734
Zweigstelle;7672390;34460;;Raiffeisen;;Raiffeisenbank Region Pregarten reg.Gen.m.b.H. Bst.Tragwein;Markt 15;4284;Tragwein;Freistadt;;;;;Oberösterreich;07263/88320;07263/8832023;rb-region-pregarten@raiffeisen-ooe.at;;www.raiffeisen-ooe.at/region-pregarten;20060915;261734
Zweigstelle;7672403;34460;;Raiffeisen;;Raiffeisenbank Region Pregarten reg.Gen.m.b.H. Bst.Wartberg ob der Aist;Hauptstraße 4;4224;Wartberg ob der Aist;Freistadt;;;;;Oberösterreich;07236/2377;07236/237721;rb-region-pregarten@raiffeisen-ooe.at;;www.raiffeisen-ooe.at/region-pregarten;20060915;261734
Hauptanstalt;263419;34450;KI;Raiffeisen;110468d;Raiffeisenbank Region Ried i.I. reg.Gen.m.b.H.;Friedrich-Thurner-Straße 14;4910;Ried im Innkreis;Ried im Innkreis;;;;;Oberösterreich;07752/84491;07752/8449140623;rb-region-ried@raiffeisen-ooe.at;RZOOAT2L450;www.raiffeisen-ooe.at/region-ried;18890922;
Zweigstelle;355003;34450;;Raiffeisen;;Raiffeisenbank Region Ried i.I. reg.Gen.m.b.H. Zws.Andrichsfurt;Andrichsfurt 41;4754;Andrichsfurt;Ried im Innkreis;;;;;Oberösterreich;07750/3208;07750/32084;;;;;263419
Zweigstelle;1851896;34450;;Raiffeisen;;Raiffeisenbank Region Ried i.I. reg.Gen.m.b.H. Zws.Aurolzmünster;Marktplatz 39;4971;Aurolzmünster;Ried im Innkreis;;;;;Oberösterreich;07752/83035;07752/8303524;;;;;263419
Zweigstelle;2361680;34450;;Raiffeisen;;Raiffeisenbank Region Ried i.I. reg.Gen.m.b.H. Zws.Eitzing;Kirchenplatz 2;4970;Eitzing;Ried im Innkreis;;;;;Oberösterreich;07752/83411;07752/8341114;;;;;263419
Zweigstelle;1851888;34450;;Raiffeisen;;Raiffeisenbank Region Ried i.I. reg.Gen.m.b.H. Zws.Gurten;Hofmark 2;4942;Gurten;Ried im Innkreis;;;;;Oberösterreich;07757/6227;07757/622720;;;;;263419
Zweigstelle;1851870;34450;;Raiffeisen;;Raiffeisenbank Region Ried i.I. reg.Gen.m.b.H. Zws.Hohenzell;Hofmark 17;4921;Hohenzell;Ried im Innkreis;;;;;Oberösterreich;07752/85718;07752/857189;;;;;263419
Zweigstelle;6623786;34450;;Raiffeisen;;Raiffeisenbank Region Ried i.I. reg.Gen.m.b.H. Zws.Kirchheim i.I.;Dorfstraße 4;4932;Kirchheim i.I.;Ried im Innkreis;;;;;Oberösterreich;07755/6401;07755/640124;;;;;263419
Zweigstelle;6623794;34450;;Raiffeisen;;Raiffeisenbank Region Ried i.I. reg.Gen.m.b.H. Zws.Lambrechten;Lambrechten 29;4772;Lambrechten;Ried im Innkreis;;;;;Oberösterreich;07765/217;07765/21726;;;;;263419
Zweigstelle;1851705;34450;;Raiffeisen;;Raiffeisenbank Region Ried i.I. reg.Gen.m.b.H. Zws.Mehrnbach;Mehrnbach 1;4941;Mehrnbach;Ried im Innkreis;;;;;Oberösterreich;07752/82012;07752/8201223;;;;;263419
Zweigstelle;6623808;34450;;Raiffeisen;;Raiffeisenbank Region Ried i.I. reg.Gen.m.b.H. Zws.Mettmach;Marktplatz 10;4931;Mettmach;Ried im Innkreis;;;;;Oberösterreich;07755/7231;07755/723120;;;;;263419
Zweigstelle;6623816;34450;;Raiffeisen;;Raiffeisenbank Region Ried i.I. reg.Gen.m.b.H. Zws.Neuhofen im Innkreis;Hauptstraße 8;4912;Neuhofen im Innkreis;Ried im Innkreis;;;;;Oberösterreich;07752/83141;07752/83145;;;;;263419
Zweigstelle;1851853;34450;;Raiffeisen;;Raiffeisenbank Region Ried i.I. reg.Gen.m.b.H. Zws.Pattigham;Hauptstraße 56;4910;Ried/Innkreis;Ried im Innkreis;;;;;Oberösterreich;07754/8401;07754/840114;;;;;263419
Zweigstelle;1851829;34450;;Raiffeisen;;Raiffeisenbank Region Ried i.I. reg.Gen.m.b.H. Zws.Peterskirchen;Peterskirchen 33;4743;Peterskirchen;Ried im Innkreis;;;;;Oberösterreich;07750/3418;07750/34184;;;;;263419
Zweigstelle;6623824;34450;;Raiffeisen;;Raiffeisenbank Region Ried i.I. reg.Gen.m.b.H. Zws.Schildorn;Dorfplatz 2;4920;Schildorn;Ried im Innkreis;;;;;Oberösterreich;07754/8050;07754/805022;;;;;263419
Zweigstelle;1851764;34450;;Raiffeisen;;Raiffeisenbank Region Ried i.I. reg.Gen.m.b.H. Zws.Senftenbach;Berg 27;4973;St.Martin/Innk.;Ried im Innkreis;;;;;Oberösterreich;07751/8369;07751/836914;;;;;263419
Zweigstelle;1851730;34450;;Raiffeisen;;Raiffeisenbank Region Ried i.I. reg.Gen.m.b.H. Zws.Taiskirchen;Hofmarkt 17;4753;Taiskirchen;Ried im Innkreis;;;;;Oberösterreich;07764/8418;07764/7520;;;;;263419
Zweigstelle;1876783;34450;;Raiffeisen;;Raiffeisenbank Region Ried i.I. reg.Gen.m.b.H. Zws.Tumeltsham;Tumeltsham 63;4910;Ried/Innkreis;Ried im Innkreis;;;;;Oberösterreich;07752/83464;07752/834644;;;;;263419
Zweigstelle;1851721;34450;;Raiffeisen;;Raiffeisenbank Region Ried i.I. reg.Gen.m.b.H. Zws.Utzenaich;Raiffeisenweg 1;4972;Utzenaich;Ried im Innkreis;;;;;Oberösterreich;07751/8551;07751/855142;;;;;263419
Zweigstelle;1851713;34450;;Raiffeisen;;Raiffeisenbank Region Ried i.I. reg.Gen.m.b.H. Zws.Weilbach;Weilbach 18;4984;Weilbach;Ried im Innkreis;;;;;Oberösterreich;07757/6304;07757/630415;;;;;263419
Hauptanstalt;260479;34410;KI;Raiffeisen;77818p;Raiffeisenbank Region Rohrbach reg.Gen.m.b.H.;Stadtplatz 30;4150;Rohrbach/OÖ;Rohrbach;;;;;Oberösterreich;07289/6881;05999/3490939500;rb-rohrbach@raiffeisen-ooe.at;RZOOAT2L410;www.raiffeisen-ooe.at/region-rohrbach;19050716;
Zweigstelle;354937;34410;;Raiffeisen;;Raiffeisenbank Region Rohrbach reg.Gen.m.b.H. Zws.Aigen im Mühlkreis-Marktplatz;Marktplatz 15;4160;Aigen/Mühlkr.;Rohrbach;;;;;Oberösterreich;07281/6455;05999/3490939500;;;;;260479
Zweigstelle;3762890;34410;;Raiffeisen;;Raiffeisenbank Region Rohrbach reg.Gen.m.b.H. Zws.Arnreit;Arnreit 25;4122;Arnreit;Rohrbach;;;;;Oberösterreich;07282/7019;05999/3490939500;;;;;260479
Zweigstelle;354783;34410;;Raiffeisen;;Raiffeisenbank Region Rohrbach reg.Gen.m.b.H. Zws.Haslach/Mühl;Marktplatz 42;4170;Haslach/Mühl;Rohrbach;;;;;Oberösterreich;07289/71771;05999/3490939500;;;;;260479
Zweigstelle;4077245;34410;;Raiffeisen;;Raiffeisenbank Region Rohrbach reg.Gen.m.b.H. Zws.Julbach;Hauptstraße 6;4162;Julbach;Rohrbach;;;;;Oberösterreich;07288/8119;05999/3490939500;;;;;260479
Zweigstelle;355062;34410;;Raiffeisen;;Raiffeisenbank Region Rohrbach reg.Gen.m.b.H. Zws.Klaffer;Dorfplatz 3;4163;Klaffer;Rohrbach;;;;;Oberösterreich;07288/6594;05999/3490939500;;;;;260479
Zweigstelle;353590;34410;;Raiffeisen;;Raiffeisenbank Region Rohrbach reg.Gen.m.b.H. Zws.Öpping;Kapellenstraße 2;4151;Oepping;Rohrbach;;;;;Oberösterreich;07289/8239;05999/3490939500;;;;;260479
Zweigstelle;3766020;34410;;Raiffeisen;;Raiffeisenbank Region Rohrbach reg.Gen.m.b.H. Zws.Peilstein im Mühlviertel;Marktstraße 4;4153;Peilstein/M.;Rohrbach;;;;;Oberösterreich;07287/7212;05999/3490939500;;;;;260479
Zweigstelle;3766012;34410;;Raiffeisen;;Raiffeisenbank Region Rohrbach reg.Gen.m.b.H. Zws.Schlägl;Schlägler Hauptstraße 9;4160;Aigen/Mühlkr.;Rohrbach;;;;;Oberösterreich;07281/6219;05999/3490939500;;;;;260479
Zweigstelle;2393484;34410;;Raiffeisen;;Raiffeisenbank Region Rohrbach reg.Gen.m.b.H. Zws.Schwarzenberg am Böhmerwald;Schwarzenberg am Böhmerwald 118;4164;Schwarzenberg/M.;Rohrbach;;;;;Oberösterreich;07280/203;05999/3490939500;;;;;260479
Zweigstelle;354775;34410;;Raiffeisen;;Raiffeisenbank Region Rohrbach reg.Gen.m.b.H. Zws.St.Oswald bei Haslach;St.Oswald bei Haslach 2;4170;Haslach/Mühl;Rohrbach;;;;;Oberösterreich;07289/71597;05999/3490939500;;;;;260479
Zweigstelle;8226776;34410;;Raiffeisen;;Raiffeisenbank Region Rohrbach reg.Gen.m.b.H. Zws.Ulrichsberg;Raiffeisenplatz 1;4161;Ulrichsberg/OÖ;Rohrbach;;;;;Oberösterreich;07288/2219;05999/3490939500;;;;;260479
Hauptanstalt;259853;34455;KI;Raiffeisen;111211x;Raiffeisenbank Region Schärding eGen;Oberer Stadtplatz 42;4780;Schärding;Schärding;;;;;Oberösterreich;07712/3126;07712/312641155;schaerding@raiffeisen-ooe.at;RZOOAT2L455;www.raiffeisen-schaerding.at;18990514;
Zweigstelle;10062254;34455;;Raiffeisen;;Raiffeisenbank Region Schärding eGen Zws.Andorf;Raiffeisen-Weg 1;4770;Andorf, Oberösterreich;Schärding;;;;;Oberösterreich;07766/2146;07766/214628;schaerding@raiffeisen-ooe.at;;www.raiffeisen-schaerding.at;;259853
Zweigstelle;4450000;34455;;Raiffeisen;;Raiffeisenbank Region Schärding eGen Zws.Diersbach;Am Berg 7;4776;Diersbach;Schärding;;;;;Oberösterreich;07719/7267;07719/8750;schaerding@raiffeisen-ooe.at;;www.raiffeisen-schaerding.at;;259853
Zweigstelle;4450027;34455;;Raiffeisen;;Raiffeisenbank Region Schärding eGen Zws.Dorf a.d.Pram;Dorf 89;4751;Dorf an der Pram;Schärding;;;;;Oberösterreich;07764/8457;07764/845721;schaerding@raiffeisen-ooe.at;;www.raiffeisen-schaerding.at;;259853
Zweigstelle;4450035;34455;;Raiffeisen;;Raiffeisenbank Region Schärding eGen Zws.Eggerding;Eggerding 49;4773;Eggerding;Schärding;;;;;Oberösterreich;07767/213;07767/21350;schaerding@raiffeisen-ooe.at;;www.raiffeisen-schaerding.at;;259853
Zweigstelle;4450043;34455;;Raiffeisen;;Raiffeisenbank Region Schärding eGen Zws.Enzenkirchen;Enzenkirchen 120;4761;Enzenkirchen;Schärding;;;;;Oberösterreich;07762/3201;07762/320131;schaerding@raiffeisen-ooe.at;;www.raiffeisen-schaerding.at;;259853
Zweigstelle;8226768;34455;;Raiffeisen;;Raiffeisenbank Region Schärding eGen Zws.Esternberg;Hauptstraße 35;4092;Esternberg;Schärding;;;;;Oberösterreich;07714/6620;07714/6007;schaerding@raiffeisen-ooe.at;;www.raiffeisen-schaerding.at;;259853
Zweigstelle;354902;34620;;Raiffeisen;;Raiffeisenbank Region Schärding eGen Zws.Freinberg;Freinberg 66;4785;Freinberg;Schärding;;;;;Oberösterreich;07713/8244;07713/82444;schaerding@raiffeisen-ooe.at;;www.raiffeisen-schaerding.at;;259853
Zweigstelle;4450060;34455;;Raiffeisen;;Raiffeisenbank Region Schärding eGen Zws.Kopfing;Hauptstraße 120;4794;Kopfing;Schärding;;;;;Oberösterreich;07763/2215;07763/221585;schaerding@raiffeisen-ooe.at;;www.raiffeisen-schaerding;;259853
Zweigstelle;10062246;34325;;Raiffeisen;;Raiffeisenbank Region Schärding eGen Zws.Münzkirchen;Hofmark 4;4792;Münzkirchen;Schärding;;;;;Oberösterreich;07716/7232;07716/6747;schaerding@raiffeisen-ooe.at;;www.raiffeisen-schaerding.at;;259853
Zweigstelle;4459830;34455;;Raiffeisen;;Raiffeisenbank Region Schärding eGen Zws.Raab;Marktstraße 110;4760;Raab;Schärding;;;;;Oberösterreich;07762/2235;07762/223512;schaerding@raiffeisen-ooe.at;;www.raiffeisen-schaerding.at;;259853
Zweigstelle;354686;34455;;Raiffeisen;;Raiffeisenbank Region Schärding eGen Zws.Rainbach;Rainbach im Innkreis 31;4791;Rainbach/Innkr.;Schärding;;;;;Oberösterreich;07716/8015;07716/801575;schaerding@raiffeisen-ooe.at;;www.raiffeisen-schaerding.at;;259853
Zweigstelle;354660;34455;;Raiffeisen;;Raiffeisenbank Region Schärding eGen Zws.Riedau;Marktplatz 6-7;4752;Riedau;Schärding;;;;;Oberösterreich;07764/8363;07764/8363;schaerding@raiffeisen-ooe.at;;www.raiffeisen-schaerding.at;;259853
Zweigstelle;5231566;34455;;Raiffeisen;;Raiffeisenbank Region Schärding eGen Zws.Schardenberg;Fronwaldstraße 2;4784;Schardenberg;Schärding;;;;;Oberösterreich;07713/7018;07713/701815;schaerding@raiffeisen-ooe.at;;www.raiffeisen-schaerding.at;;259853
Zweigstelle;5231558;34455;;Raiffeisen;;Raiffeisenbank Region Schärding eGen Zws.St.Aegidi;St.Aegidi 61;4725;St.Aegidi;Schärding;;;;;Oberösterreich;07717/7305;07717/730522;schaerding@raiffeisen-ooe.at;;www.raiffeisen-schaerding.at;;259853
Zweigstelle;4459881;34455;;Raiffeisen;;Raiffeisenbank Region Schärding eGen Zws.St.Marienkirchen bei Schärding;Hauptstraße 3;4774;St.Marienkirchen/Schärding;Schärding;;;;;Oberösterreich;07711/2268;07711/226885;schaerding@raiffeisen-ooe.at;;www.raiffeisen-schaerding.at;;259853
Zweigstelle;354678;34455;;Raiffeisen;;Raiffeisenbank Region Schärding eGen Zws.St.Willibald;St.Willibald 14;4762;St.Willibald;Schärding;;;;;Oberösterreich;07762/2874;07762/2820;schaerding@raiffeisen-ooe.at;;www.raiffeisen-schaerding.at;;259853
Zweigstelle;354910;34455;;Raiffeisen;;Raiffeisenbank Region Schärding eGen Zws.Suben;Suben 19;4975;Suben;Schärding;;;;;Oberösterreich;07711/2315;07711/231513;schaerding@raiffeisen-ooe.at;;www.raiffeisen-schaerding.at;;259853
Zweigstelle;4450086;34455;;Raiffeisen;;Raiffeisenbank Region Schärding eGen Zws.Taufkirchen a.d.Pram;Schärdinger Straße 3;4775;Taufkirchen/Pr.;Schärding;;;;;Oberösterreich;07719/7235;07719/723522;schaerding@raiffeisen-ooe.at;;www.raiffeisen-schaerding.at;;259853
Zweigstelle;353663;34455;;Raiffeisen;;Raiffeisenbank Region Schärding eGen Zws.Vichtenstein;Vichtenstein 70;4091;Vichtenstein;Schärding;;;;;Oberösterreich;07714/8034;07714/50958;schaerding@raiffeisen-ooe.at;;www.raiffeisen-schaerding.at;;259853
Zweigstelle;354899;34455;;Raiffeisen;;Raiffeisenbank Region Schärding eGen Zws.Wernstein;Innstraße 1;4783;Wernstein;Schärding;;;;;Oberösterreich;07713/6963;07713/6963;schaerding@raiffeisen-ooe.at;;www.raiffeisen-schaerding.at;;259853
Zweigstelle;4450094;34455;;Raiffeisen;;Raiffeisenbank Region Schärding eGen Zws.Zell a.d.Pram;Hofmark 17;4755;Zell/Pram;Schärding;;;;;Oberösterreich;07764/8376;07764/837672;schaerding@raiffeisen-ooe.at;;www.raiffeisen-schaerding.at;;259853
Hauptanstalt;263524;34630;KI;Raiffeisen;94698m;Raiffeisenbank Region Schwanenstadt reg.Gen.m.b.H.;Stadtplatz 25-26;4690;Schwanenstadt;Vöcklabruck;;;;;Oberösterreich;07673/2213;0599934909/44621;rb-schwanenstadt@raiffeisen-ooe.at;RZOOAT2L630;www.raiffeisen-ooe.at/region-schwanenstadt;18890529;
Zweigstelle;3432939;34630;;Raiffeisen;;Raiffeisenbank Region Schwanenstadt reg.Gen.m.b.H. Zws.Atzbach;Am Ortsplatz 3/2;4904;Atzbach/OÖ;Vöcklabruck;;;;;Oberösterreich;07676/8498;0599934909/44711;;;;;263524
Zweigstelle;3432912;34630;;Raiffeisen;;Raiffeisenbank Region Schwanenstadt reg.Gen.m.b.H. Zws.Desselbrunn;Desselbrunn 62;4693;Desselbrunn;Vöcklabruck;;;;;Oberösterreich;07673/3717;0599934909/44732;;;;;263524
Zweigstelle;4077105;34630;;Raiffeisen;;Raiffeisenbank Region Schwanenstadt reg.Gen.m.b.H. Zws.Neukirchen bei Lambach;Neukirchen bei Lambach 57;4671;Neukirchen/L.;Wels-Land;;;;;Oberösterreich;07245/27021;0599934909/44791;;;;;263524
Zweigstelle;3432920;34630;;Raiffeisen;;Raiffeisenbank Region Schwanenstadt reg.Gen.m.b.H. Zws.Niederthalheim;Hauptstraße 42;4692;Niederthalheim;Vöcklabruck;;;;;Oberösterreich;07673/7281/44754;0599934909/44754;;;;;263524
Zweigstelle;3432947;34630;;Raiffeisen;;Raiffeisenbank Region Schwanenstadt reg.Gen.m.b.H. Zws.Rüstorf;Rüstorf 1a;4690;Schwanenstadt;Vöcklabruck;;;;;Oberösterreich;07673/2631/44774;0599934909/44774;;;;;263524
Hauptanstalt;265241;32823;KI;Raiffeisen;94171m;Raiffeisenbank Region Schwechat reg.Gen.m.b.H.;Bruck-Hainburger Straße 5;2320;Schwechat;Wien-Umgebung;;;;;Niederösterreich;01/70130;01/7013018;;RLNWATWW823;;19280101;
Zweigstelle;350826;32823;;Raiffeisen;;Raiffeisenbank Region Schwechat reg.Gen.m.b.H. Zws.Enzersdorf/Fischa;Dreifaltigkeitsplatz 15;2431;Kleinneusiedl;Bruck an der Leitha;;;;;Niederösterreich;02230/80488;;;;;;265241
Zweigstelle;350818;32823;;Raiffeisen;;Raiffeisenbank Region Schwechat reg.Gen.m.b.H. Zws.Fischamend;Hauptplatz 1;2401;Fischamend;Wien-Umgebung;;;;;Niederösterreich;02232/76381;02232/763819;;;;;265241
Zweigstelle;348171;32823;;Raiffeisen;;Raiffeisenbank Region Schwechat reg.Gen.m.b.H. Zws.Götzendorf;Hauptstraße 38;2434;Götzendorf/Leitha;Bruck an der Leitha;;;;;Niederösterreich;02169/2288;02169/22884;;;;;265241
Zweigstelle;348198;32823;;Raiffeisen;;Raiffeisenbank Region Schwechat reg.Gen.m.b.H. Zws.Gramatneusiedl;Oberortsstraße 4;2440;Gramatneusiedl;Wien-Umgebung;;;;;Niederösterreich;02234/73352;02234/7335224;;;;;265241
Zweigstelle;5598907;32823;;Raiffeisen;;Raiffeisenbank Region Schwechat reg.Gen.m.b.H. Zws.Himberg;Hauptstraße 57;2325;Himberg/Wien;Wien-Umgebung;;2325;Himberg/Wien;58;Niederösterreich;02235/87788;02235/8778831;;;;;265241
Zweigstelle;348155;32823;;Raiffeisen;;Raiffeisenbank Region Schwechat reg.Gen.m.b.H. Zws.Maria Lanzendorf;Hauptstraße 14a;2326;Maria Lanzendorf;Wien-Umgebung;;;;;Niederösterreich;02235/47739;02235/4773922;;;;;265241
Zweigstelle;348180;32823;;Raiffeisen;;Raiffeisenbank Region Schwechat reg.Gen.m.b.H. Zws.Mitterndorf;Hauptstraße 23;2441;Mitterndorf/Fischa;Baden;;;;;Niederösterreich;02234/78711;02234/78711;;;;;265241
Zweigstelle;348163;32823;;Raiffeisen;;Raiffeisenbank Region Schwechat reg.Gen.m.b.H. Zws.Reisenberg;Heldenplatz 1;2440;Gramatneusiedl;Baden;;;;;Niederösterreich;02234/80482;02234/80482;;;;;265241
Zweigstelle;350761;32823;;Raiffeisen;;Raiffeisenbank Region Schwechat reg.Gen.m.b.H. Zws.Schwadorf;Obere Umfahrungsstraße 2;2432;Schwadorf/Wien;Wien-Umgebung;;;;;Niederösterreich;02230/2272;02230/220912;;;;;265241
Zweigstelle;350796;32823;;Raiffeisen;;Raiffeisenbank Region Schwechat reg.Gen.m.b.H. Zws.Schwechat-Flughafen, Officepark;Office Park;1300;Wien-Flughafen;Wien-Umgebung;;;;;Niederösterreich;01/700733709;;;;;;265241
Zweigstelle;491624;32823;;Raiffeisen;;Raiffeisenbank Region Schwechat reg.Gen.m.b.H. Zws.Schwechat-Flughafen, Pier Ost;Flughafen Pier Ost;1300;Wien-Flughafen;Wien-Umgebung;;;;;Niederösterreich;01/700733482;;;;;;265241
Hauptanstalt;266914;34560;KI;Raiffeisen;123110w;Raiffeisenbank Region Sierning reg.Gen.m.b.H.;Neustraße 5;4522;Sierning;Steyr-Land;;;;;Oberösterreich;07259/2061;05999/3490943600;rb-sierning@raiffeisen-ooe.at;RZOOAT2L560;www.raiffeisen-ooe.at/region-sierning;18920306;
Zweigstelle;6008968;34560;;Raiffeisen;;Raiffeisenbank Region Sierning reg.Gen.m.b.H. Bst.Adlwang;Kirchenplatz 7;4541;Adlwang;Steyr-Land;;;;;Oberösterreich;07258/3906;05999/3490943760;;;;;266914
Zweigstelle;2376857;34560;;Raiffeisen;;Raiffeisenbank Region Sierning reg.Gen.m.b.H. Bst.Aschach/Steyr;Schulstraße 12;4421;Aschach/Steyr;Steyr-Land;;4421;Aschach/Steyr;1;Oberösterreich;07259/3405;05999/3490943776;;;;;266914
Zweigstelle;354848;34560;;Raiffeisen;;Raiffeisenbank Region Sierning reg.Gen.m.b.H. Bst.Bad Hall;Hauptplatz 1;4540;Bad Hall;Steyr-Land;;;;;Oberösterreich;07258/2671;05999/3490943712;;;;;266914
Zweigstelle;354368;34560;;Raiffeisen;;Raiffeisenbank Region Sierning reg.Gen.m.b.H. Bst.Hofkirchen;Dorfplatz 7;4492;Hofkirchen/Tr.;Linz-Land;;;;;Oberösterreich;07225/7244;05999/3490943880;;;;;266914
Zweigstelle;354376;34560;;Raiffeisen;;Raiffeisenbank Region Sierning reg.Gen.m.b.H. Bst.Losensteinleiten;Losensteinleiten 2;4493;Wolfern;Steyr-Land;;;;;Oberösterreich;07253/844443877;05999/3490943877;;;;;266914
Zweigstelle;5232627;34560;;Raiffeisen;;Raiffeisenbank Region Sierning reg.Gen.m.b.H. Bst.Rohr/Kremstal;Ortsplatz 2;4532;Rohr/Kremstal;Steyr-Land;;;;;Oberösterreich;07258/2400;05999/3490943840;;;;;266914
Zweigstelle;2376865;34560;;Raiffeisen;;Raiffeisenbank Region Sierning reg.Gen.m.b.H. Bst.Schiedlberg;Hauptstraße 15;4521;Schiedlberg;Steyr-Land;;;;;Oberösterreich;07251/408;05999/3490943801;;;;;266914
Zweigstelle;529052;34560;;Raiffeisen;;Raiffeisenbank Region Sierning reg.Gen.m.b.H. Bst.Sierning-Neuzeug;Josef-Teufel-Platz 2;4523;Neuzeug;Steyr-Land;;;;;Oberösterreich;07259/4250;05999/3490943741;;;;19880912;266914
Zweigstelle;2376873;34560;;Raiffeisen;;Raiffeisenbank Region Sierning reg.Gen.m.b.H. Bst.Waldneukirchen;Dorfplatz 2;4595;Waldneukirchen;Steyr-Land;;;;;Oberösterreich;07258/3819;05999/3490943820;;;;;266914
Zweigstelle;9449370;34311;;Raiffeisen;;Raiffeisenbank Region Sierning reg.Gen.m.b.H. Bst.Wolfern;Kirchenplatz 9;4493;Wolfern;Steyr-Land;;;;;Oberösterreich;07253/8444;05999/3490943870;;;;;266914
Hauptanstalt;261297;34114;KI;Raiffeisen;120922b;Raiffeisenbank Region Steyr reg.Gen.m.b.H.;Am Platzl 15;4451;Garsten;Steyr-Land;;4400;Steyr;53;Oberösterreich;07252/484841;07252/48484155;rb-region-steyr@raiffeisen-ooe.at;RZOOAT2L114;www.raiffeisen-ooe.at/region-steyr;19280514;
Zweigstelle;353736;34114;;Raiffeisen;;Raiffeisenbank Region Steyr reg.Gen.m.b.H. Zws.Steyr-Bahnhofstraße;Bahnhofstraße 5;4400;Steyr;Steyr;;;;;Oberösterreich;;;;;;;261297
Zweigstelle;353752;34114;;Raiffeisen;;Raiffeisenbank Region Steyr reg.Gen.m.b.H. Zws.Steyr-Stadtplatz;Stadtplatz 46;4400;Steyr;Steyr;;4400;Steyr;53;Oberösterreich;07252/484842;;;;;;261297
Zweigstelle;353744;34114;;Raiffeisen;;Raiffeisenbank Region Steyr reg.Gen.m.b.H. Zws.Steyr-Tabor;Ennser Straße 2;4400;Steyr;Steyr;;;;;Oberösterreich;07252/484844;;;;;;261297
Hauptanstalt;264849;32585;KI;Raiffeisen;74508x;RAIFFEISENBANK REGION ST.PÖLTEN reg.Gen.m.b.H.;Europaplatz 7;3100;St.Pölten;St. Pölten;;3100;St.Pölten;11;Niederösterreich;595005;0595005/9000;info@rbstpoelten.at;RLNWATWWOBG;;18750226;
Zweigstelle;16161700;32585;;Raiffeisen;;RAIFFEISENBANK REGION ST.PÖLTEN reg.Gen.m.b.H. Zws. Kirchstetten;Wienerstraße 30;3062;Kirchstetten;St. Pölten-Land;;;;;Niederösterreich;0595005/7450;;info@rbstp.at;;;20121025;264849
Zweigstelle;349879;32585;;Raiffeisen;;RAIFFEISENBANK REGION ST.PÖLTEN reg.Gen.m.b.H. Zws.Bischofstetten;Raiffeisenplatz 1;3232;Bischofstetten;Melk;;;;;Niederösterreich;0595005/7040;;info@rbstpoelten.at;;;;264849
Zweigstelle;5994047;32585;;Raiffeisen;;RAIFFEISENBANK REGION ST.PÖLTEN reg.Gen.m.b.H. Zws.Böheimkirchen;Marktplatz 5;3071;Böheimkirchen;St. Pölten-Land;;3071;Böheimkirchen;30;Niederösterreich;0595005/7440;;info@rbstpoelten.at;;;;264849
Zweigstelle;8279438;32585;;Raiffeisen;;RAIFFEISENBANK REGION ST.PÖLTEN reg.Gen.m.b.H. Zws.Franziskanergasse;Franziskanergasse 4;3100;St.Pölten;St. Pölten;;;;;Niederösterreich;0595005/7110;;info@rbstpoelten.at;;;20070928;264849
Zweigstelle;4437233;32585;;Raiffeisen;;RAIFFEISENBANK REGION ST.PÖLTEN reg.Gen.m.b.H. Zws.Hafnerbach;Hauptstraße 1;3386;Hafnerbach;St. Pölten-Land;;;;;Niederösterreich;0595005/7380;;info@rbstpoelten.at;;;;264849
Zweigstelle;3739350;32585;;Raiffeisen;;RAIFFEISENBANK REGION ST.PÖLTEN reg.Gen.m.b.H. Zws.Hofstetten an der Pielach;Hauptplatz 3-5;3202;Hofstetten a.d.Pielach;St. Pölten-Land;;3202;Hofstetten a.d.Pielach;1;Niederösterreich;0595005/7070;;info@rbstpoelten.at;;;;264849
Zweigstelle;350540;32585;;Raiffeisen;;RAIFFEISENBANK REGION ST.PÖLTEN reg.Gen.m.b.H. Zws.Josefstraße;Josefstraße 41;3100;St.Pölten;St. Pölten;;;;;Niederösterreich;0595005/7400;;info@rbstpoelten.at;;;;264849
Zweigstelle;350532;32585;;Raiffeisen;;RAIFFEISENBANK REGION ST.PÖLTEN reg.Gen.m.b.H. Zws.Karlstetten;Wachaustraße 4;3121;Karlstetten;St. Pölten-Land;;;;;Niederösterreich;0595005/7100;;info@rbstpoelten.at;;;;264849
Zweigstelle;347477;32585;;Raiffeisen;;RAIFFEISENBANK REGION ST.PÖLTEN reg.Gen.m.b.H. Zws.Kasten;Kasten 76;3072;Kasten;St. Pölten-Land;;;;;Niederösterreich;0595005/7420;;info@rbstpoelten.at;;;;264849
